timestamp,level,service,user,ip_address,response_time_ms,status_code,message
2024-01-01 00:05:54,INFO,payment-service,user_007,192.168.3.11,101.5,200,INFO from payment-service
2024-01-01 00:07:01,INFO,inventory-service,user_018,192.168.2.13,139.9,200,INFO from inventory-service
2024-01-01 00:10:34,INFO,inventory-service,user_016,192.168.2.2,43.5,200,INFO from inventory-service
2024-01-01 00:17:59,INFO,inventory-service,user_045,192.168.4.15,51.0,200,INFO from inventory-service
2024-01-01 00:18:53,INFO,inventory-service,user_040,192.168.3.9,101.2,200,INFO from inventory-service
2024-01-01 00:21:17,INFO,payment-service,user_014,192.168.3.6,110.6,200,INFO from payment-service
2024-01-01 00:24:06,INFO,user-service,user_023,192.168.2.15,183.2,201,INFO from user-service
2024-01-01 00:27:02,INFO,auth-service,user_006,192.168.2.9,145.9,200,INFO from auth-service
2024-01-01 00:28:37,INFO,user-service,user_001,192.168.2.2,110.6,200,INFO from user-service
2024-01-01 00:38:01,INFO,notification-service,user_013,192.168.4.13,180.9,200,INFO from notification-service
2024-01-01 00:40:53,INFO,user-service,user_011,192.168.3.10,101.4,200,INFO from user-service
2024-01-01 00:42:17,INFO,inventory-service,user_044,192.168.1.10,129.7,200,INFO from inventory-service
2024-01-01 00:45:04,INFO,auth-service,user_043,192.168.2.11,141.7,201,INFO from auth-service
2024-01-01 00:46:29,INFO,notification-service,user_008,192.168.3.11,150.7,200,INFO from notification-service
2024-01-01 00:47:06,INFO,inventory-service,user_048,192.168.4.13,114.5,200,INFO from inventory-service
2024-01-01 01:08:32,WARN,api-gateway,user_006,192.168.1.7,111.0,400,WARN from api-gateway
2024-01-01 01:09:40,INFO,payment-service,user_044,192.168.3.17,122.7,200,INFO from payment-service
2024-01-01 01:15:47,INFO,notification-service,user_035,192.168.2.15,63.5,200,INFO from notification-service
2024-01-01 01:24:24,INFO,notification-service,user_030,192.168.4.11,63.0,200,INFO from notification-service
2024-01-01 01:25:56,INFO,inventory-service,user_030,192.168.1.19,83.7,200,INFO from inventory-service
2024-01-01 01:27:57,INFO,notification-service,user_026,192.168.3.9,178.6,200,INFO from notification-service
2024-01-01 01:35:55,INFO,auth-service,user_044,192.168.1.15,98.2,200,INFO from auth-service
2024-01-01 01:36:56,INFO,inventory-service,user_021,192.168.2.9,132.6,200,INFO from inventory-service
2024-01-01 01:51:20,INFO,api-gateway,user_018,192.168.1.9,79.5,200,INFO from api-gateway
2024-01-01 01:53:49,INFO,order-service,user_004,192.168.2.11,97.5,201,INFO from order-service
2024-01-01 02:07:59,INFO,user-service,user_020,192.168.2.12,95.9,200,INFO from user-service
2024-01-01 02:25:42,WARN,inventory-service,user_024,192.168.3.19,71.2,400,WARN from inventory-service
2024-01-01 02:27:10,ERROR,api-gateway,user_001,192.168.2.15,74.0,500,ERROR from api-gateway
2024-01-01 02:28:07,INFO,payment-service,user_015,192.168.1.9,128.4,200,INFO from payment-service
2024-01-01 02:32:38,INFO,payment-service,user_010,192.168.3.10,96.0,201,INFO from payment-service
2024-01-01 02:34:49,INFO,notification-service,user_001,192.168.3.4,108.3,200,INFO from notification-service
2024-01-01 02:35:10,WARN,user-service,user_034,192.168.3.17,77.7,404,WARN from user-service
2024-01-01 02:37:35,INFO,payment-service,user_038,192.168.2.10,41.6,200,INFO from payment-service
2024-01-01 02:48:11,INFO,notification-service,user_007,192.168.3.1,135.0,201,INFO from notification-service
2024-01-01 02:48:17,INFO,order-service,user_042,192.168.3.6,124.4,200,INFO from order-service
2024-01-01 02:48:34,INFO,order-service,user_009,192.168.1.17,119.5,200,INFO from order-service
2024-01-01 02:56:36,INFO,auth-service,user_006,192.168.4.6,194.1,201,INFO from auth-service
2024-01-01 02:59:34,INFO,order-service,user_047,192.168.2.7,152.9,200,INFO from order-service
2024-01-01 03:03:14,INFO,auth-service,user_003,192.168.3.5,66.9,200,INFO from auth-service
2024-01-01 03:03:43,INFO,inventory-service,user_042,192.168.1.13,108.0,200,INFO from inventory-service
2024-01-01 03:15:17,INFO,inventory-service,user_032,192.168.2.9,127.9,200,INFO from inventory-service
2024-01-01 03:15:55,INFO,auth-service,user_029,192.168.4.14,101.6,200,INFO from auth-service
2024-01-01 03:18:13,INFO,auth-service,user_038,192.168.4.13,92.9,200,INFO from auth-service
2024-01-01 03:24:16,INFO,order-service,user_030,192.168.2.18,133.0,200,INFO from order-service
2024-01-01 03:27:22,WARN,api-gateway,user_027,192.168.4.3,115.4,400,WARN from api-gateway
2024-01-01 03:30:51,INFO,api-gateway,user_013,192.168.1.13,126.9,200,INFO from api-gateway
2024-01-01 03:34:28,INFO,payment-service,user_028,192.168.2.5,91.2,200,INFO from payment-service
2024-01-01 03:41:34,WARN,order-service,user_001,192.168.1.12,162.3,404,WARN from order-service
2024-01-01 03:46:21,INFO,order-service,user_007,192.168.2.13,60.9,200,INFO from order-service
2024-01-01 03:46:50,INFO,notification-service,user_043,192.168.4.6,104.6,200,INFO from notification-service
2024-01-01 03:46:59,INFO,notification-service,user_037,192.168.4.4,149.5,200,INFO from notification-service
2024-01-01 03:54:15,INFO,payment-service,user_027,192.168.4.6,133.7,200,INFO from payment-service
2024-01-01 03:55:25,INFO,auth-service,user_011,192.168.3.11,49.5,200,INFO from auth-service
2024-01-01 04:03:03,WARN,notification-service,user_031,192.168.4.8,144.5,400,WARN from notification-service
2024-01-01 04:04:38,INFO,auth-service,user_044,192.168.2.12,157.3,200,INFO from auth-service
2024-01-01 04:08:59,INFO,user-service,user_005,192.168.2.13,75.7,200,INFO from user-service
2024-01-01 04:16:13,INFO,inventory-service,user_046,192.168.3.3,133.3,200,INFO from inventory-service
2024-01-01 04:25:08,INFO,inventory-service,user_042,192.168.3.1,159.0,200,INFO from inventory-service
2024-01-01 04:26:42,INFO,notification-service,user_037,192.168.4.10,107.6,200,INFO from notification-service
2024-01-01 04:33:10,WARN,auth-service,user_033,192.168.1.11,161.2,400,WARN from auth-service
2024-01-01 04:36:06,INFO,auth-service,user_035,192.168.2.9,112.6,200,INFO from auth-service
2024-01-01 04:56:36,INFO,payment-service,user_038,192.168.1.6,86.4,200,INFO from payment-service
2024-01-01 04:59:48,INFO,auth-service,user_001,192.168.4.2,100.8,200,INFO from auth-service
2024-01-01 05:16:57,INFO,order-service,user_004,192.168.1.12,134.5,200,INFO from order-service
2024-01-01 05:28:53,INFO,notification-service,user_046,192.168.3.1,72.2,200,INFO from notification-service
2024-01-01 05:42:06,WARN,payment-service,user_017,192.168.1.15,174.2,400,WARN from payment-service
2024-01-01 05:45:21,INFO,payment-service,user_044,192.168.2.15,160.1,200,INFO from payment-service
2024-01-01 05:47:35,INFO,payment-service,user_018,192.168.2.18,117.1,200,INFO from payment-service
2024-01-01 05:51:41,INFO,notification-service,user_001,192.168.4.14,152.5,200,INFO from notification-service
2024-01-01 05:53:17,INFO,auth-service,user_001,192.168.3.5,94.2,201,INFO from auth-service
2024-01-01 06:02:19,INFO,user-service,user_003,192.168.3.8,182.6,200,INFO from user-service
2024-01-01 06:07:56,WARN,user-service,user_012,192.168.4.18,99.3,404,WARN from user-service
2024-01-01 06:14:12,INFO,order-service,user_030,192.168.3.7,40.5,200,INFO from order-service
2024-01-01 06:15:42,WARN,auth-service,user_023,192.168.4.15,20.0,400,WARN from auth-service
2024-01-01 06:16:02,INFO,auth-service,user_039,192.168.3.18,87.7,200,INFO from auth-service
2024-01-01 06:16:10,INFO,inventory-service,user_029,192.168.4.14,134.5,200,INFO from inventory-service
2024-01-01 06:25:21,INFO,user-service,user_005,192.168.2.17,134.3,200,INFO from user-service
2024-01-01 06:26:39,WARN,inventory-service,user_010,192.168.2.12,152.9,400,WARN from inventory-service
2024-01-01 06:32:25,WARN,inventory-service,user_035,192.168.3.5,179.1,404,WARN from inventory-service
2024-01-01 06:35:00,INFO,auth-service,user_005,192.168.2.1,181.5,200,INFO from auth-service
2024-01-01 06:50:44,WARN,auth-service,user_025,192.168.1.5,123.7,400,WARN from auth-service
2024-01-01 06:50:55,INFO,payment-service,user_015,192.168.1.4,111.2,200,INFO from payment-service
2024-01-01 06:51:51,INFO,payment-service,user_027,192.168.1.4,123.5,200,INFO from payment-service
2024-01-01 06:53:23,INFO,notification-service,user_036,192.168.1.19,118.6,200,INFO from notification-service
2024-01-01 06:59:21,INFO,order-service,user_027,192.168.2.13,108.0,200,INFO from order-service
2024-01-01 07:00:45,INFO,notification-service,user_009,192.168.2.17,129.3,200,INFO from notification-service
2024-01-01 07:01:05,INFO,user-service,user_015,192.168.3.14,151.3,200,INFO from user-service
2024-01-01 07:01:05,WARN,inventory-service,user_028,192.168.1.18,151.6,400,WARN from inventory-service
2024-01-01 07:01:39,INFO,payment-service,user_016,192.168.1.17,80.4,200,INFO from payment-service
2024-01-01 07:03:35,INFO,user-service,user_045,192.168.1.17,131.7,200,INFO from user-service
2024-01-01 07:04:42,INFO,user-service,user_040,192.168.3.3,98.8,200,INFO from user-service
2024-01-01 07:07:36,INFO,payment-service,user_030,192.168.2.14,97.3,201,INFO from payment-service
2024-01-01 07:07:46,INFO,user-service,user_033,192.168.3.2,140.5,200,INFO from user-service
2024-01-01 07:09:01,INFO,auth-service,user_016,192.168.4.4,120.2,200,INFO from auth-service
2024-01-01 07:09:45,INFO,payment-service,user_005,192.168.3.16,118.9,200,INFO from payment-service
2024-01-01 07:10:19,WARN,auth-service,user_038,192.168.1.4,99.9,404,WARN from auth-service
2024-01-01 07:10:38,INFO,notification-service,user_048,192.168.1.15,124.0,201,INFO from notification-service
2024-01-01 07:11:03,INFO,user-service,user_025,192.168.3.4,83.6,200,INFO from user-service
2024-01-01 07:11:35,INFO,auth-service,user_011,192.168.1.1,158.5,200,INFO from auth-service
2024-01-01 07:12:20,WARN,auth-service,user_048,192.168.4.12,131.9,404,WARN from auth-service
2024-01-01 07:13:40,INFO,payment-service,user_017,192.168.1.11,87.2,200,INFO from payment-service
2024-01-01 07:14:11,INFO,order-service,user_045,192.168.4.10,106.3,200,INFO from order-service
2024-01-01 07:15:48,INFO,api-gateway,user_037,192.168.3.11,129.1,200,INFO from api-gateway
2024-01-01 07:19:25,INFO,notification-service,user_001,192.168.3.1,91.9,200,INFO from notification-service
2024-01-01 07:19:36,WARN,notification-service,user_004,192.168.1.13,166.3,404,WARN from notification-service
2024-01-01 07:19:42,INFO,notification-service,user_024,192.168.4.4,70.5,200,INFO from notification-service
